"atlas ID","PMID","Year","Domain","Trait","P-value","N","EA","NEA"
"43","27818178","2016","Environment","Social deprivation","0.00883746","112151","C","T"
"55","27089181","2016","Psychiatric","Neuroticism","0.003371","170911","C","T"
"63","28436984","2017","Reproduction","Age at menarche","0.00111","252514","T","C"
"66","27416945","2016","Endocrine","Insulin sensitivity index (combined influence of the genotype effect adjusted for BMI and the interaction effect between the genotype and BMI on ISI)","0.001231","16753","C","T"
"73","24097068","2013","Metabolic","Total cholesterol","0.02259","188577","T","C"
"80","22504420","2012","Skeletal","Femoral Neck BMD","0.041","32961","C","T"
"88","22885922","2012","Endocrine","Type 2 Diabetes","5.5e-65","69033","T","C"
"90","26604143","2016","Metabolic","Body Mass Index - Child","0.0427","35668","C","T"
"95","27680694","2016","Metabolic","Birth weight","0.024","153781","T","C"
"108","26343387","2015","Cardiovascular","Coronary artery disease","0.001448","184305","T","C"
"111","23202125","2013","Cardiovascular","Coronary artery disease","0.011629","194427","T","C"
"112","20935630","2010","Metabolic","Body Mass Index","0.000238","123865","NA","NA"
"115","22982992","2012","Metabolic","Variability of Body Mass Index","0.029","133154","C","T"
"117","23563607","2013","Metabolic","Extreme Body Mass Index","0.003","16068","C","T"
"120","23563607","2013","Metabolic","Obesity class 1","0.00015","98697","C","T"
"121","23563607","2013","Metabolic","Obesity class 2","0.000029","72546","C","T"
"122","23563607","2013","Metabolic","Obesity class 3","0.00028","50364","C","T"
"123","23563607","2013","Metabolic","Overweight","0.0065","158855","C","T"
"124","23754948","2013","Metabolic","Body Mass Index (male)","0.00031","60036","C","T"
"128","23754948","2013","Metabolic","Hip circumference (male)","0.00049","34942","C","T"
"129","23754948","2013","Metabolic","Hip circumference (female)","0.0098","43316","C","T"
"132","23754948","2013","Metabolic","Waist circumference (male)","0.0014","36231","C","T"
"136","23754948","2013","Metabolic","Weight (male)","0.0056","60016","C","T"
"143","25673413","2015","Metabolic","Body Mass Index","1.112e-11","234069","C","T"
"144","25673413","2015","Metabolic","Body Mass Index (male)","3.894e-11","104666","C","T"
"145","25673413","2015","Metabolic","Body Mass Index (female)","0.00003971","132115","C","T"
"146","25673413","2015","Metabolic","Body Mass Index","1.103e-12","236231","C","T"
"147","26426971","2015","Metabolic","Body Mass Index (male > 50 yrs)","1.5e-11","74324","C","T"
"149","26426971","2015","Metabolic","Body Mass Index (female > 50 yrs)","0.000006","88625","C","T"
"155","25673412","2015","Metabolic","Hip circumference","2.1e-11","213038","C","T"
"156","25673412","2015","Metabolic","Hip circumference","4.8e-12","227429","C","T"
